date,temperature,humidity,luminosity
2022-11-16 21:08:22.131,25.9,48.8,89
2022-11-16 21:08:17.086,25.9,48.8,75
2022-11-16 21:08:12.044,25.9,48.9,74
2022-11-16 21:08:06.999,25.9,48.8,76
2022-11-16 21:08:01.954,25.9,48.9,87
2022-11-16 21:07:56.908,25.9,48.8,87
2022-11-16 21:07:51.865,25.9,48.9,88
2022-11-16 21:07:46.820,26.0,48.8,88
2022-11-16 21:07:41.776,25.9,48.9,88
2022-11-16 21:07:36.730,25.9,48.9,89
2022-11-16 21:07:31.685,25.9,48.9,88
2022-11-16 21:07:26.640,25.9,48.8,88
2022-11-16 21:07:21.596,25.9,48.8,89
2022-11-16 21:07:16.552,25.9,48.8,88
2022-11-16 21:07:11.506,26.0,48.9,89
2022-11-16 21:07:06.463,25.9,48.8,88
2022-11-16 21:07:01.418,25.9,48.9,89
2022-11-16 21:06:56.374,25.9,48.8,88
2022-11-16 21:06:51.331,25.9,48.8,89
2022-11-16 21:06:46.285,25.9,48.8,88
2022-11-16 21:06:41.241,25.9,48.7,88
2022-11-16 21:06:36.195,25.9,48.8,88
2022-11-16 21:06:31.150,25.9,48.8,88
2022-11-16 21:06:26.107,25.9,48.8,88
2022-11-16 21:06:21.062,25.9,48.8,88
2022-11-16 21:06:16.016,25.9,48.9,88
2022-11-16 21:06:10.973,25.9,48.8,89
2022-11-16 21:06:05.928,25.9,48.8,89
2022-11-16 21:06:00.885,25.9,48.8,88
2022-11-16 21:05:55.842,25.9,48.7,89
2022-11-16 21:05:50.797,26.0,48.8,88
2022-11-16 21:05:45.753,25.9,48.8,88
2022-11-16 21:05:40.707,25.9,48.8,89
2022-11-16 21:05:35.663,26.0,48.8,88
2022-11-16 21:05:30.617,25.9,48.9,88
2022-11-16 21:05:25.573,25.9,48.8,88
2022-11-16 21:05:20.531,26.0,48.8,88
2022-11-16 21:05:15.487,26.0,48.8,84
2022-11-16 21:05:10.441,25.9,48.8,84
2022-11-16 21:05:05.397,26.0,48.8,83
2022-11-16 21:05:00.352,26.0,48.9,84
2022-11-16 21:04:55.307,26.0,48.8,83
2022-11-16 21:04:50.261,26.0,48.8,83
2022-11-16 21:04:45.217,25.9,48.8,85
2022-11-16 21:04:40.173,26.0,48.8,83
2022-11-16 21:04:35.128,25.9,48.8,84
2022-11-16 21:04:30.082,25.9,48.8,84
2022-11-16 21:04:25.039,25.9,48.9,85
2022-11-16 21:04:19.993,25.9,48.9,85
2022-11-16 21:04:14.948,26.0,48.9,86
2022-11-16 21:04:09.902,25.9,48.9,86
2022-11-16 21:04:04.858,26.0,49.0,86
2022-11-16 21:03:59.813,26.0,48.8,85
2022-11-16 21:03:54.770,26.0,48.8,85
2022-11-16 21:03:49.726,26.0,48.8,84
2022-11-16 21:03:44.680,26.0,48.8,84
2022-11-16 21:03:39.638,25.9,48.7,86
2022-11-16 21:03:34.592,25.9,48.7,84
2022-11-16 21:03:29.546,25.9,48.7,88
2022-11-16 21:03:24.502,26.0,48.7,88
2022-11-16 21:03:19.458,26.0,48.7,89
2022-11-16 21:03:14.413,25.9,48.7,88
2022-11-16 21:03:09.369,26.0,48.7,88
2022-11-16 21:03:04.323,25.9,48.7,89
2022-11-16 21:02:59.278,26.0,48.7,88
2022-11-16 21:02:54.233,25.9,48.8,87
2022-11-16 21:02:49.188,25.9,48.7,88
2022-11-16 21:02:44.145,25.9,48.7,89
2022-11-16 21:02:39.101,26.0,48.7,88
2022-11-16 21:02:34.056,25.9,48.8,89
2022-11-16 21:02:29.010,26.0,48.8,87
2022-11-16 21:02:23.965,25.9,48.8,88
2022-11-16 21:02:18.919,25.9,48.7,88
2022-11-16 21:02:13.873,25.9,48.8,87
2022-11-16 21:02:08.829,25.9,48.8,88
2022-11-16 21:02:03.783,25.9,48.7,87
2022-11-16 21:01:58.741,25.9,48.7,88
2022-11-16 21:01:53.696,25.9,48.7,89
2022-11-16 21:01:48.650,25.9,48.7,88
2022-11-16 21:01:43.606,25.9,48.6,88
2022-11-16 21:01:38.562,25.9,48.7,88
2022-11-16 21:01:33.518,25.9,48.7,88
2022-11-16 21:01:28.474,25.9,48.7,88
2022-11-16 21:01:23.429,25.9,48.7,87
2022-11-16 21:01:18.382,25.9,48.7,88
2022-11-16 21:01:13.339,25.9,48.8,88
2022-11-16 21:01:08.296,25.9,48.7,84
2022-11-16 21:01:03.252,25.9,48.8,84
2022-11-16 21:00:58.207,25.9,48.7,86
2022-11-16 21:00:53.162,25.9,48.6,79
2022-11-16 21:00:48.118,25.9,48.6,84
2022-11-16 21:00:43.073,25.9,48.7,82
2022-11-16 21:00:38.029,25.9,48.6,82
2022-11-16 21:00:32.983,25.9,48.7,82
2022-11-16 21:00:27.937,25.9,48.8,82
2022-11-16 21:00:22.894,25.9,48.7,83
2022-11-16 21:00:17.850,25.9,48.6,82
2022-11-16 21:00:12.807,25.9,48.7,83
2022-11-16 21:00:07.762,25.9,48.6,82
2022-11-16 21:00:02.716,25.9,48.6,83
2022-11-16 20:59:57.672,25.9,48.7,82
2022-11-16 20:59:52.627,25.9,48.6,83
2022-11-16 20:59:47.581,25.9,48.6,82
2022-11-16 20:59:42.538,25.9,48.6,83
2022-11-16 20:59:37.493,25.9,48.6,82
2022-11-16 20:59:32.450,25.9,48.6,83
2022-11-16 20:59:27.406,25.9,48.6,82
2022-11-16 20:59:22.362,25.9,48.6,81
2022-11-16 20:59:17.317,25.9,48.7,83
2022-11-16 20:59:12.272,25.9,48.7,82
2022-11-16 20:59:07.229,25.9,48.7,78
2022-11-16 20:59:02.183,25.9,48.6,78
2022-11-16 20:58:57.138,25.9,48.6,84
2022-11-16 20:58:52.093,25.9,48.7,83
2022-11-16 20:58:47.050,25.9,48.7,83
2022-11-16 20:58:42.003,25.9,48.7,82
2022-11-16 20:58:36.959,25.9,48.7,82
2022-11-16 20:58:31.916,25.9,48.7,84
2022-11-16 20:58:26.872,25.9,48.7,85
2022-11-16 20:58:21.826,25.9,48.6,84
2022-11-16 20:58:16.782,25.9,48.7,82
2022-11-16 20:58:11.738,25.8,48.6,83
2022-11-16 20:58:06.692,25.9,48.6,83
2022-11-16 20:58:01.648,25.9,48.6,88
2022-11-16 20:57:56.606,25.9,48.7,89
2022-11-16 20:57:51.561,25.9,48.6,89
2022-11-16 20:57:46.518,25.9,48.7,87
2022-11-16 20:57:41.473,25.9,48.6,89
2022-11-16 20:57:36.427,25.9,48.7,88
2022-11-16 20:57:31.384,25.9,48.7,88
2022-11-16 20:57:26.339,25.9,48.7,82
2022-11-16 20:57:21.295,25.9,48.7,83
2022-11-16 20:57:16.250,25.9,48.7,82
2022-11-16 20:57:11.205,25.9,48.7,84
2022-11-16 20:57:06.159,25.9,48.7,83
2022-11-16 20:57:01.117,25.9,48.8,82
2022-11-16 20:56:56.073,25.9,48.8,82
2022-11-16 20:56:51.029,25.9,48.8,82
2022-11-16 20:56:45.984,25.9,48.7,83
2022-11-16 20:56:40.938,25.9,48.8,82
2022-11-16 20:56:35.894,25.9,48.7,86
2022-11-16 20:56:30.848,25.9,48.8,85
2022-11-16 20:56:25.805,25.9,48.8,84
2022-11-16 20:56:20.759,25.9,48.8,87
2022-11-16 20:56:15.716,25.9,48.8,83
2022-11-16 20:56:10.672,25.9,48.8,85
2022-11-16 20:56:05.627,25.9,48.7,83
2022-11-16 20:56:00.580,25.8,48.8,83
2022-11-16 20:55:55.537,25.9,48.6,83
2022-11-16 20:55:50.493,25.9,48.7,85
2022-11-16 20:55:45.449,25.9,48.7,86
2022-11-16 20:55:40.406,25.9,48.7,85
2022-11-16 20:55:35.360,25.9,48.7,86
2022-11-16 20:55:30.315,25.9,48.7,86
2022-11-16 20:55:25.272,25.9,48.8,85
